Admission Date,Admissions,Location
2022-05-01,30,Hospital_1
2022-05-02,6,Hospital_1
2022-05-03,17,Hospital_1
2022-05-04,14,Hospital_1
2022-05-05,33,Hospital_1
2022-05-06,37,Hospital_1
2022-05-07,22,Hospital_1
2022-05-08,32,Hospital_1
2022-05-09,43,Hospital_1
2022-05-10,50,Hospital_1
2022-05-11,51,Hospital_1
2022-05-12,38,Hospital_1
2022-05-13,41,Hospital_1
2022-05-14,21,Hospital_1
2022-05-15,36,Hospital_1
2022-05-16,37,Hospital_1
2022-05-17,32,Hospital_1
2022-05-18,37,Hospital_1
2022-05-19,41,Hospital_1
2022-05-20,51,Hospital_1
2022-05-21,19,Hospital_1
2022-05-22,36,Hospital_1
2022-05-23,55,Hospital_1
2022-05-24,56,Hospital_1
2022-05-25,49,Hospital_1
2022-05-26,39,Hospital_1
2022-05-27,45,Hospital_1
2022-05-28,16,Hospital_1
2022-05-29,33,Hospital_1
2022-05-30,48,Hospital_1
2022-05-31,30,Hospital_1
2022-06-01,35,Hospital_1
2022-06-02,53,Hospital_1
2022-06-03,47,Hospital_1
2022-06-04,29,Hospital_1
2022-06-05,33,Hospital_1
2022-06-06,47,Hospital_1
2022-06-07,40,Hospital_1
2022-06-08,28,Hospital_1
2022-06-09,42,Hospital_1
2022-06-10,33,Hospital_1
2022-06-11,20,Hospital_1
2022-06-12,33,Hospital_1
2022-06-13,35,Hospital_1
2022-06-14,50,Hospital_1
2022-06-15,29,Hospital_1
2022-06-16,52,Hospital_1
2022-06-17,30,Hospital_1
2022-06-18,38,Hospital_1
2022-06-19,38,Hospital_1
2022-06-20,67,Hospital_1
2022-06-21,44,Hospital_1
2022-06-22,70,Hospital_1
2022-06-23,55,Hospital_1
2022-06-24,41,Hospital_1
2022-06-25,22,Hospital_1
2022-06-26,39,Hospital_1
2022-06-27,51,Hospital_1
2022-06-28,38,Hospital_1
2022-06-29,38,Hospital_1
2022-06-30,46,Hospital_1
2022-07-01,24,Hospital_1
2022-07-02,22,Hospital_1
2022-07-03,23,Hospital_1
