Location,Month,Admitting Department,Admissions
Hospital_1,2022-05-01,Department_01,194
Hospital_1,2022-05-01,Department_02,121
Hospital_1,2022-05-01,Department_03,95
Hospital_1,2022-05-01,Department_04,51
Hospital_1,2022-05-01,Department_05,71
Hospital_1,2022-05-01,Department_06,57
Hospital_1,2022-05-01,Department_07,46
Hospital_1,2022-05-01,Department_08,51
Hospital_1,2022-05-01,Department_09,42
Hospital_1,2022-05-01,Department_10,42
Hospital_1,2022-05-01,Department_11,27
Hospital_1,2022-05-01,Department_12,21
Hospital_1,2022-05-01,Department_13,28
Hospital_1,2022-05-01,Department_14,24
Hospital_1,2022-05-01,Department_15,26
Hospital_1,2022-05-01,Department_16,13
Hospital_1,2022-05-01,Department_17,18
Hospital_1,2022-05-01,Department_18,16
Hospital_1,2022-05-01,Department_19,15
Hospital_1,2022-05-01,Department_20,15
Hospital_1,2022-05-01,Department_21,11
Hospital_1,2022-05-01,Department_22,9
Hospital_1,2022-05-01,Department_23,4
Hospital_1,2022-05-01,Department_24,5
Hospital_1,2022-05-01,Department_25,6
Hospital_1,2022-05-01,Department_26,12
Hospital_1,2022-05-01,Department_27,6
Hospital_1,2022-05-01,Department_28,8
Hospital_1,2022-05-01,Department_29,4
Hospital_1,2022-05-01,Department_30,7
Hospital_1,2022-05-01,Department_31,6
Hospital_1,2022-05-01,Department_32,4
Hospital_1,2022-05-01,Department_33,3
Hospital_1,2022-05-01,Department_34,1
Hospital_1,2022-05-01,Department_35,5
Hospital_1,2022-05-01,Department_36,2
Hospital_1,2022-05-01,Department_37,1
Hospital_1,2022-05-01,Department_38,4
Hospital_1,2022-05-01,Department_39,2
Hospital_1,2022-05-01,Department_40,4
Hospital_1,2022-05-01,Department_41,3
Hospital_1,2022-05-01,Department_42,1
Hospital_1,2022-05-01,Department_43,3
Hospital_1,2022-05-01,Department_45,4
Hospital_1,2022-05-01,Department_46,1
Hospital_1,2022-05-01,Department_48,2
Hospital_1,2022-05-01,Department_49,1
Hospital_1,2022-05-01,Department_60,2
Hospital_1,2022-05-01,Department_62,1
Hospital_1,2022-06-01,Department_01,234
Hospital_1,2022-06-01,Department_02,132
Hospital_1,2022-06-01,Department_03,92
Hospital_1,2022-06-01,Department_04,73
Hospital_1,2022-06-01,Department_05,70
Hospital_1,2022-06-01,Department_06,60
Hospital_1,2022-06-01,Department_07,58
Hospital_1,2022-06-01,Department_08,45
Hospital_1,2022-06-01,Department_09,40
Hospital_1,2022-06-01,Department_10,47
Hospital_1,2022-06-01,Department_11,42
Hospital_1,2022-06-01,Department_12,32
Hospital_1,2022-06-01,Department_13,38
Hospital_1,2022-06-01,Department_14,23
Hospital_1,2022-06-01,Department_15,16
Hospital_1,2022-06-01,Department_16,18
Hospital_1,2022-06-01,Department_17,30
Hospital_1,2022-06-01,Department_18,12
Hospital_1,2022-06-01,Department_19,17
Hospital_1,2022-06-01,Department_20,11
Hospital_1,2022-06-01,Department_21,5
Hospital_1,2022-06-01,Department_22,13
Hospital_1,2022-06-01,Department_23,10
Hospital_1,2022-06-01,Department_24,14
Hospital_1,2022-06-01,Department_25,6
Hospital_1,2022-06-01,Department_26,8
Hospital_1,2022-06-01,Department_27,6
Hospital_1,2022-06-01,Department_28,10
Hospital_1,2022-06-01,Department_29,2
Hospital_1,2022-06-01,Department_30,6
Hospital_1,2022-06-01,Department_31,7
Hospital_1,2022-06-01,Department_32,3
Hospital_1,2022-06-01,Department_33,7
Hospital_1,2022-06-01,Department_34,6
Hospital_1,2022-06-01,Department_35,6
Hospital_1,2022-06-01,Department_36,2
Hospital_1,2022-06-01,Department_38,2
Hospital_1,2022-06-01,Department_39,1
Hospital_1,2022-06-01,Department_40,2
Hospital_1,2022-06-01,Department_41,1
Hospital_1,2022-06-01,Department_42,1
Hospital_1,2022-06-01,Department_43,2
Hospital_1,2022-06-01,Department_44,1
Hospital_1,2022-06-01,Department_45,5
Hospital_1,2022-06-01,Department_47,3
Hospital_1,2022-06-01,Department_48,2
Hospital_1,2022-06-01,Department_49,1
Hospital_1,2022-06-01,Department_63,1
Hospital_1,2022-07-01,Department_01,174
Hospital_1,2022-07-01,Department_02,72
Hospital_1,2022-07-01,Department_03,68
Hospital_1,2022-07-01,Department_04,57
Hospital_1,2022-07-01,Department_05,68
Hospital_1,2022-07-01,Department_06,56
Hospital_1,2022-07-01,Department_07,46
Hospital_1,2022-07-01,Department_08,38
Hospital_1,2022-07-01,Department_09,39
Hospital_1,2022-07-01,Department_10,29
Hospital_1,2022-07-01,Department_11,47
Hospital_1,2022-07-01,Department_12,33
